x,y,z,ux,uy,uz,?x,?y,?z
3.33333,9.10667,1.90476,-0.000173106,-0.000492528,1.17244e-05,0.000361306,-9.68301e-05,4.32405e-05
4.16667,8.88333,1.90476,-0.00019934,-0.00043808,6.69126e-06,0.000330114,-8.84705e-05,5.48928e-05
5,8.66,1.90476,-0.000230332,-0.0003989,-5.68224e-06,0.00028684,-0.000165625,-1.29878e-08
5.61,8.05,1.90476,-0.000279771,-0.000391663,6.69002e-06,0.000241679,-0.000241679,-5.49189e-05
6.22,7.44,1.90476,-0.000340055,-0.000396183,1.17226e-05,0.000264529,-0.000264529,-4.32755e-05
6.83,6.83,1.90476,-0.000382101,-0.000382101,1.30837e-05,0.000274245,-0.000274245,-1.37209e-17
7.44,6.22,1.90476,-0.000396183,-0.000340055,1.17226e-05,0.000264529,-0.000264529,4.32755e-05
8.05,5.61,1.90476,-0.000391663,-0.000279771,6.69002e-06,0.000241679,-0.000241679,5.49189e-05
8.66,5,1.90476,-0.0003989,-0.000230332,-5.68224e-06,0.000165625,-0.00028684,1.29878e-08
8.88333,4.16667,1.90476,-0.00043808,-0.00019934,6.69126e-06,8.84705e-05,-0.000330114,-5.48928e-05
9.10667,3.33333,1.90476,-0.000492528,-0.000173106,1.17244e-05,9.68301e-05,-0.000361306,-4.32405e-05
9.33,2.5,1.90476,-0.000521871,-0.000139877,1.3086e-05,0.00010038,-0.000374552,4.46745e-08
9.55333,1.66667,1.90476,-0.000513005,-9.64079e-05,1.17258e-05,9.68148e-05,-0.000361249,4.33231e-05
9.77667,0.833333,1.90476,-0.000478913,-4.64434e-05,6.69434e-06,8.84424e-05,-0.000330009,5.49527e-05
10,0,2.85714,-0.000751344,-4.50015e-17,6.87342e-06,1.60109e-17,-0.000269384,6.84341e-17
9.77667,-0.833333,2.85714,-0.000781471,7.89874e-05,1.79149e-05,-7.21313e-05,-0.000269146,-9.05602e-05
9.55333,-1.66667,2.85714,-0.000837428,0.000160244,2.31062e-05,-7.93294e-05,-0.000296006,-7.06099e-05
9.33,-2.5,2.85714,-0.000852521,0.000228501,2.46025e-05,-8.24098e-05,-0.000307501,-7.83648e-08
9.10667,-3.33333,2.85714,-0.000805444,0.000280095,2.31043e-05,-7.93444e-05,-0.000296062,7.04654e-05
8.88333,-4.16667,2.85714,-0.000716458,0.000322507,1.79107e-05,-7.21591e-05,-0.000269248,9.04556e-05
8.66,-5,2.85714,-0.000650926,0.000375856,6.86603e-06,-0.000134771,-0.000233402,-2.64586e-08
8.05,-5.61,2.85714,-0.000637518,0.000459306,1.79093e-05,-0.000197125,-0.000197125,-9.05076e-05
7.44,-6.22,2.85714,-0.000645311,0.000557604,2.31021e-05,-0.000216771,-0.000216771,-7.05304e-05
6.83,-6.83,2.85714,-0.00062421,0.00062421,2.45995e-05,-0.000225165,-0.000225165,-8.60374e-17
